Timestamp,CPU,MEMORY
25.11.2015 14:15:00,113,262
25.11.2015 14:20:00,114,188
25.11.2015 14:25:00,121,213
25.11.2015 14:30:00,114,385
25.11.2015 14:35:00,145,349
25.11.2015 14:40:00,120,589
25.11.2015 14:45:00,135,395
25.11.2015 14:50:00,112,581
25.11.2015 14:55:00,140,338
25.11.2015 15:00:00,115,608
25.11.2015 15:05:00,113,254
25.11.2015 15:10:00,112,213
25.11.2015 15:15:00,116,158
25.11.2015 15:20:00,113,131
25.11.2015 15:25:00,115,193
25.11.2015 15:30:00,114,213
25.11.2015 15:35:00,121,264
25.11.2015 15:40:00,123,442
25.11.2015 15:45:00,114,434
25.11.2015 15:50:00,113,221
25.11.2015 15:55:00,134,362
25.11.2015 16:00:00,115,720
25.11.2015 16:05:00,121,371
25.11.2015 16:10:00,115,521
25.11.2015 16:15:00,122,368
25.11.2015 16:20:00,113,376
25.11.2015 16:25:00,116,254
25.11.2015 16:30:00,128,300
25.11.2015 16:35:00,111,488
25.11.2015 16:40:00,112,240
25.11.2015 16:45:00,120,275
25.11.2015 16:50:00,113,338
25.11.2015 16:55:00,137,327
25.11.2015 17:00:00,116,603
25.11.2015 17:05:00,107,264
25.11.2015 17:10:00,111,152
25.11.2015 17:15:00,113,161
25.11.2015 17:20:00,114,128
25.11.2015 17:25:00,115,100
25.11.2015 17:30:00,123,251
25.11.2015 17:35:00,153,819
25.11.2015 17:40:00,130,748
25.11.2015 17:45:00,120,524
25.11.2015 17:50:00,131,581
25.11.2015 17:55:00,140,483
25.11.2015 18:00:00,127,778
25.11.2015 18:05:00,114,409
25.11.2015 18:10:00,112,131
25.11.2015 18:15:00,114,172
25.11.2015 18:20:00,115,155
25.11.2015 18:25:00,120,475
25.11.2015 18:30:00,114,393
25.11.2015 18:35:00,112,256
25.11.2015 18:40:00,111,188
25.11.2015 18:45:00,125,248
25.11.2015 18:50:00,112,360
25.11.2015 18:55:00,128,281
25.11.2015 19:00:00,112,573
25.11.2015 19:05:00,119,256
25.11.2015 19:10:00,113,319
25.11.2015 19:15:00,112,161
25.11.2015 19:20:00,114,120
25.11.2015 19:25:00,123,234
25.11.2015 19:30:00,115,349
25.11.2015 19:35:00,122,267
25.11.2015 19:40:00,115,423
25.11.2015 19:45:00,113,202
25.11.2015 19:50:00,112,120
25.11.2015 19:55:00,127,319
25.11.2015 20:00:00,112,485
25.11.2015 20:05:00,117,292
25.11.2015 20:10:00,112,190
25.11.2015 20:15:00,114,141
25.11.2015 20:20:00,113,172
25.11.2015 20:25:00,113,172
25.11.2015 20:30:00,114,204
25.11.2015 20:35:00,113,204
25.11.2015 20:40:00,112,188
25.11.2015 20:45:00,123,237
25.11.2015 20:50:00,117,458
25.11.2015 20:55:00,133,330
25.11.2015 21:00:00,114,516
25.11.2015 21:05:00,121,327
25.11.2015 21:10:00,112,403
25.11.2015 21:15:00,117,182
25.11.2015 21:20:00,114,248
25.11.2015 21:25:00,120,295
25.11.2015 21:30:00,113,237
25.11.2015 21:35:00,119,234
25.11.2015 21:40:00,113,374
25.11.2015 21:45:00,114,166
25.11.2015 21:50:00,113,98
25.11.2015 21:55:00,124,199
25.11.2015 22:00:00,116,475
25.11.2015 22:05:00,121,215
25.11.2015 22:10:00,114,283
25.11.2015 22:15:00,121,240
25.11.2015 22:20:00,113,344
25.11.2015 22:25:00,119,251
25.11.2015 22:30:00,114,395
25.11.2015 22:35:00,120,248
25.11.2015 22:40:00,111,319
25.11.2015 22:45:00,120,215
25.11.2015 22:50:00,112,349
25.11.2015 22:55:00,118,254
25.11.2015 23:00:00,114,385
25.11.2015 23:05:00,112,163
25.11.2015 23:10:00,110,122
25.11.2015 23:15:00,112,131
25.11.2015 23:20:00,111,147
25.11.2015 23:25:00,112,106
25.11.2015 23:30:00,115,147
25.11.2015 23:35:00,115,147
25.11.2015 23:40:00,114,139
25.11.2015 23:45:00,125,319
25.11.2015 23:50:00,114,264
25.11.2015 23:55:00,125,264
26.11.2015 00:00:00,118,491
26.11.2015 00:05:00,122,278
26.11.2015 00:10:00,113,368
26.11.2015 00:15:00,117,147
26.11.2015 00:20:00,114,155
26.11.2015 00:25:00,216,365
26.11.2015 00:30:00,120,1018
26.11.2015 00:35:00,110,376
26.11.2015 00:40:00,111,237
26.11.2015 00:45:00,121,248
26.11.2015 00:50:00,112,385
26.11.2015 00:55:00,117,286
26.11.2015 01:00:00,109,467
26.11.2015 01:05:00,133,554
26.11.2015 01:10:00,114,357
26.11.2015 01:15:00,119,139
26.11.2015 01:20:00,113,185
26.11.2015 01:25:00,112,122
26.11.2015 01:30:00,112,117
26.11.2015 01:35:00,114,131
26.11.2015 01:40:00,114,155
26.11.2015 01:45:00,116,213
26.11.2015 01:50:00,114,131
26.11.2015 01:55:00,122,136
26.11.2015 02:00:00,115,352
26.11.2015 02:05:00,114,155
26.11.2015 02:10:00,114,150
26.11.2015 02:15:00,115,131
26.11.2015 02:20:00,113,155
26.11.2015 02:25:00,123,204
26.11.2015 02:30:00,117,385
26.11.2015 02:35:00,116,152
26.11.2015 02:40:00,112,128
26.11.2015 02:45:00,122,218
26.11.2015 02:50:00,114,322
26.11.2015 02:55:00,121,272
26.11.2015 03:00:00,116,442
26.11.2015 03:05:00,117,297
26.11.2015 03:10:00,114,289
26.11.2015 03:15:00,123,313
26.11.2015 03:20:00,112,256
26.11.2015 03:25:00,113,150
26.11.2015 03:30:00,115,136
26.11.2015 03:35:00,122,264
26.11.2015 03:40:00,113,426
26.11.2015 03:45:00,123,275
26.11.2015 03:50:00,114,352
26.11.2015 03:55:00,120,242
26.11.2015 04:00:00,114,376
26.11.2015 04:05:00,124,185
26.11.2015 04:10:00,114,221
26.11.2015 04:15:00,115,188
26.11.2015 04:20:00,114,188
26.11.2015 04:25:00,121,286
26.11.2015 04:30:00,117,417
26.11.2015 04:35:00,121,245
26.11.2015 04:40:00,113,270
26.11.2015 04:45:00,123,278
26.11.2015 04:50:00,114,335
26.11.2015 04:55:00,127,221
26.11.2015 05:00:00,114,403
26.11.2015 05:05:00,118,210
26.11.2015 05:10:00,111,210
26.11.2015 05:15:00,115,199
26.11.2015 05:20:00,117,136
26.11.2015 05:25:00,114,193
26.11.2015 05:30:00,115,117
26.11.2015 05:35:00,120,237
26.11.2015 05:40:00,113,338
26.11.2015 05:45:00,117,133
26.11.2015 05:50:00,117,100
26.11.2015 05:55:00,126,335
26.11.2015 06:00:00,113,704
